"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",0,0,0,0.129170975128724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0.35831259625627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0,0,0,0,0,0.18251229356876,0.191954120838283,0,0,0,0,0,0,0,0.14813844266372,0,0,0,0,0,0
"Gemella",0.129170975128724,0,0,0,0.17379692576643,0,0,0.223344868806508,0,0,0,0.23580900323371,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0.17379692576643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0.1933776562334,0,0,0,0,0,0.155958826240138,0.0573956552067421,0,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0.22545017241915,0,0,0,0,0,0,0,0,0,0,0,0.167988168745383,0,0
"Neisseria",0,0,0,0.223344868806508,0,0,0,0,0,0,0.250934603505446,0,0,0,0,0,0,0.225342831718309,0,0,0,0,0,0
"Porphyromonas",0,0,0.18251229356876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0.35831259625627,0.191954120838283,0,0,0,0.22545017241915,0,0,0,0.254223499519868,0,0.34238551231102,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0,0,0.250934603505446,0,0.254223499519868,0,0.27232108924595,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0.23580900323371,0,0.1933776562334,0,0,0,0,0.27232108924595,0,0.218425880146012,0,0.082491576788748,0.169531973520216,0,0,0,0,0,0,0.166615108033159,0
"Veillonella",0,0,0,0,0,0,0,0,0,0.34238551231102,0,0.218425880146012,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217166727670026,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0.082491576788748,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0.169531973520216,0,0,0,0,0,0.170064985129539,0,0,0,0,0,0
"Aspergillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165372956562371,0,0,0,0,0,0
"Candida",0,0,0.14813844266372,0,0,0.155958826240138,0,0.225342831718309,0,0,0,0,0,0,0,0.170064985129539,0.165372956562371,0,0,0,0.215877770737873,0.292878721020537,0.328646257070206,0
"Cryptococcus",0,0,0,0,0,0.0573956552067421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957308735031044,0,0
"Saccharomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215877770737873,0,0,0,0,0,0
"unidentified",0,0,0,0,0,0,0.167988168745383,0,0,0,0,0,0,0,0,0,0,0.292878721020537,0,0.0957308735031044,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0,0,0.166615108033159,0,0.217166727670026,0,0,0,0.328646257070206,0,0,0,0,0,0.0531568448113755
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531568448113755,0
