SUID,BEND_MAP_ID,cluster1_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
899,243,1.0881068492,,interacts with,Neisseria (interacts with) Moraxella,false,interacts with,Neisseria (interacts with) Moraxella,
900,242,-1.2240446478,,interacts with,Neisseria (interacts with) Klebsiella,false,interacts with,Neisseria (interacts with) Klebsiella,
901,241,3.8189523305,,interacts with,Neisseria (interacts with) Veillonella,false,interacts with,Neisseria (interacts with) Veillonella,
902,240,6.7536942915,,interacts with,Neisseria (interacts with) Streptococcus,false,interacts with,Neisseria (interacts with) Streptococcus,
903,239,23.4414594342,,interacts with,Neisseria (interacts with) Rothia,false,interacts with,Neisseria (interacts with) Rothia,
904,238,7.9869866662,,interacts with,Neisseria (interacts with) Prevotella,false,interacts with,Neisseria (interacts with) Prevotella,
905,237,8.9011424306,,interacts with,Neisseria (interacts with) Porphyromonas,false,interacts with,Neisseria (interacts with) Porphyromonas,
906,236,8.3287441297,,interacts with,Neisseria (interacts with) Leptotrichia,false,interacts with,Neisseria (interacts with) Leptotrichia,
907,235,5.0416057211,,interacts with,Neisseria (interacts with) Haemophilus,false,interacts with,Neisseria (interacts with) Haemophilus,
908,234,8.4917717301,,interacts with,Neisseria (interacts with) Granulicatella,false,interacts with,Neisseria (interacts with) Granulicatella,
909,233,19.2469433236,,interacts with,Neisseria (interacts with) Gemella,false,interacts with,Neisseria (interacts with) Gemella,
910,232,7.6008754984,,interacts with,Neisseria (interacts with) Fusobacterium,false,interacts with,Neisseria (interacts with) Fusobacterium,
911,231,6.9023147149,,interacts with,Neisseria (interacts with) Actinomyces,false,interacts with,Neisseria (interacts with) Actinomyces,
912,230,5.3281018646,,interacts with,Neisseria (interacts with) Actinobacillus,false,interacts with,Neisseria (interacts with) Actinobacillus,
913,229,0.8069691491,,interacts with,Leptotrichia (interacts with) PIV3,false,interacts with,Leptotrichia (interacts with) PIV3,
914,227,4.3835172789,,interacts with,Leptotrichia (interacts with) Saccharomyces,false,interacts with,Leptotrichia (interacts with) Saccharomyces,
915,226,0.8008100242,,interacts with,Leptotrichia (interacts with) Penicillium,false,interacts with,Leptotrichia (interacts with) Penicillium,
916,225,-1.2028754406,,interacts with,Leptotrichia (interacts with) Cryptococcus,false,interacts with,Leptotrichia (interacts with) Cryptococcus,
917,224,-1.9953042481,,interacts with,Leptotrichia (interacts with) Candida,false,interacts with,Leptotrichia (interacts with) Candida,
918,223,2.9387165958,,interacts with,Leptotrichia (interacts with) Aspergillus,false,interacts with,Leptotrichia (interacts with) Aspergillus,
919,222,0.1680934344,1,interacts with,Leptotrichia (interacts with) Pseudomonas,true,interacts with,Leptotrichia (interacts with) Pseudomonas,
920,221,-1.9919431432,,interacts with,Leptotrichia (interacts with) Moraxella,false,interacts with,Leptotrichia (interacts with) Moraxella,
921,220,-1.4091594618,,interacts with,Leptotrichia (interacts with) Klebsiella,false,interacts with,Leptotrichia (interacts with) Klebsiella,
922,219,15.5780436605,,interacts with,Leptotrichia (interacts with) Veillonella,false,interacts with,Leptotrichia (interacts with) Veillonella,
923,218,2.934124256,,interacts with,Leptotrichia (interacts with) Streptococcus,false,interacts with,Leptotrichia (interacts with) Streptococcus,
924,217,7.1412512036,,interacts with,Leptotrichia (interacts with) Rothia,false,interacts with,Leptotrichia (interacts with) Rothia,
925,216,23.1519519926,,interacts with,Leptotrichia (interacts with) Prevotella,false,interacts with,Leptotrichia (interacts with) Prevotella,
926,215,6.5803537755,,interacts with,Leptotrichia (interacts with) Porphyromonas,false,interacts with,Leptotrichia (interacts with) Porphyromonas,
927,214,8.3287441297,,interacts with,Leptotrichia (interacts with) Neisseria,false,interacts with,Leptotrichia (interacts with) Neisseria,
928,213,1.3928888969,,interacts with,Leptotrichia (interacts with) Haemophilus,false,interacts with,Leptotrichia (interacts with) Haemophilus,
929,212,9.3400095555,,interacts with,Leptotrichia (interacts with) Granulicatella,false,interacts with,Leptotrichia (interacts with) Granulicatella,
930,211,8.6964087071,,interacts with,Leptotrichia (interacts with) Gemella,false,interacts with,Leptotrichia (interacts with) Gemella,
931,210,11.5667922049,,interacts with,Leptotrichia (interacts with) Fusobacterium,false,interacts with,Leptotrichia (interacts with) Fusobacterium,
932,209,14.7888302192,,interacts with,Leptotrichia (interacts with) Actinomyces,false,interacts with,Leptotrichia (interacts with) Actinomyces,
933,208,4.4063978062,,interacts with,Leptotrichia (interacts with) Actinobacillus,false,interacts with,Leptotrichia (interacts with) Actinobacillus,
934,207,-2.2864951664,,interacts with,Haemophilus (interacts with) RV,false,interacts with,Haemophilus (interacts with) RV,
935,206,4.0419362809,,interacts with,Haemophilus (interacts with) PIV3,false,interacts with,Haemophilus (interacts with) PIV3,
936,204,5.16294429,,interacts with,Haemophilus (interacts with) Penicillium,false,interacts with,Haemophilus (interacts with) Penicillium,
937,203,6.6106962269,,interacts with,Haemophilus (interacts with) Cryptococcus,false,interacts with,Haemophilus (interacts with) Cryptococcus,
938,202,10.8856040275,,interacts with,Haemophilus (interacts with) Candida,false,interacts with,Haemophilus (interacts with) Candida,
939,201,3.2324329264,,interacts with,Haemophilus (interacts with) Aspergillus,false,interacts with,Haemophilus (interacts with) Aspergillus,
940,200,-3.6740843986,-1,interacts with,Haemophilus (interacts with) Pseudomonas,true,interacts with,Haemophilus (interacts with) Pseudomonas,
941,199,5.1901836276,,interacts with,Haemophilus (interacts with) Moraxella,false,interacts with,Haemophilus (interacts with) Moraxella,
