"SUID","BEND_MAP_ID","cluster1_Adj_cyto.csv","EdgeBetweenness","inter","interaction","name","selected","shared interaction","shared name"
"1475","1475","23.1519519926079","1.18392857","1","interacts with","Prevotella (interacts with) Leptotrichia","false","interacts with","Prevotella (interacts with) Leptotrichia"
"1476","1476","-0.130448772435075","1.16805556","-1","interacts with","Prevotella (interacts with) Haemophilus","false","interacts with","Prevotella (interacts with) Haemophilus"
"1477","1477","8.214272807534291","1.32132353","1","interacts with","Prevotella (interacts with) Granulicatella","false","interacts with","Prevotella (interacts with) Granulicatella"
"1478","1478","4.53091210573058","1.29906015","1","interacts with","Prevotella (interacts with) Gemella","false","interacts with","Prevotella (interacts with) Gemella"
"1479","1479","17.2637977812338","1.22361111","1","interacts with","Prevotella (interacts with) Fusobacterium","false","interacts with","Prevotella (interacts with) Fusobacterium"
"1480","1480","36.799281882623205","1.17132353","1","interacts with","Prevotella (interacts with) Actinomyces","false","interacts with","Prevotella (interacts with) Actinomyces"
"1481","1481","2.42992784249142","1.36427688","1","interacts with","Prevotella (interacts with) Actinobacillus","false","interacts with","Prevotella (interacts with) Actinobacillus"
"1482","1482","-1.3447218235220502","1.83304514","-1","interacts with","Porphyromonas (interacts with) RV","false","interacts with","Porphyromonas (interacts with) RV"
"1483","1483","-0.0181426007019105","1.18382353","-1","interacts with","Porphyromonas (interacts with) PIV3","false","interacts with","Porphyromonas (interacts with) PIV3"
"1484","1484","4.6033634760468605","1.24824661","1","interacts with","Porphyromonas (interacts with) unidentified","false","interacts with","Porphyromonas (interacts with) unidentified"
"1485","1485","-0.182837385221191","1.53207014","-1","interacts with","Porphyromonas (interacts with) Penicillium","false","interacts with","Porphyromonas (interacts with) Penicillium"
"1486","1486","-1.2522742323569","1.13574661","-1","interacts with","Porphyromonas (interacts with) Cryptococcus","false","interacts with","Porphyromonas (interacts with) Cryptococcus"
"1487","1487","0.221633505878204","1.22157416","1","interacts with","Porphyromonas (interacts with) Candida","false","interacts with","Porphyromonas (interacts with) Candida"
"1488","1488","-0.283401478386311","1.1927521","-1","interacts with","Porphyromonas (interacts with) Pseudomonas","false","interacts with","Porphyromonas (interacts with) Pseudomonas"
"1489","1489","2.77806587837373","1.51326492","1","interacts with","Porphyromonas (interacts with) Moraxella","false","interacts with","Porphyromonas (interacts with) Moraxella"
"1490","1490","-0.0168551646840008","1.23986928","-1","interacts with","Porphyromonas (interacts with) Klebsiella","false","interacts with","Porphyromonas (interacts with) Klebsiella"
"1491","1491","5.4281695439141","1.20192308","1","interacts with","Porphyromonas (interacts with) Veillonella","false","interacts with","Porphyromonas (interacts with) Veillonella"
"1492","1492","3.01717560706196","1.17395511","1","interacts with","Porphyromonas (interacts with) Streptococcus","false","interacts with","Porphyromonas (interacts with) Streptococcus"
"1493","1493","5.7756930082316105","1.16894258","1","interacts with","Porphyromonas (interacts with) Rothia","false","interacts with","Porphyromonas (interacts with) Rothia"
"1494","1494","6.83594984740283","1.10882353","1","interacts with","Porphyromonas (interacts with) Prevotella","false","interacts with","Porphyromonas (interacts with) Prevotella"
"1495","1495","8.90114243056391","1.1927521","1","interacts with","Porphyromonas (interacts with) Neisseria","false","interacts with","Porphyromonas (interacts with) Neisseria"
"1496","1496","5.26754164145795","1.1927521","1","interacts with","Porphyromonas (interacts with) Leptotrichia","false","interacts with","Porphyromonas (interacts with) Leptotrichia"
"1497","1497","2.8667654039088397","1.0625","1","interacts with","Porphyromonas (interacts with) Haemophilus","false","interacts with","Porphyromonas (interacts with) Haemophilus"
"1498","1498","6.69641946730122","1.33014706","1","interacts with","Porphyromonas (interacts with) Granulicatella","false","interacts with","Porphyromonas (interacts with) Granulicatella"
"1499","1499","8.94338742655114","1.18656015","1","interacts with","Porphyromonas (interacts with) Gemella","false","interacts with","Porphyromonas (interacts with) Gemella"
"1500","1500","77.5991653261489","1.23243464","1","interacts with","Porphyromonas (interacts with) Fusobacterium","false","interacts with","Porphyromonas (interacts with) Fusobacterium"
"1501","1501","8.568571315703451","1.18014706","1","interacts with","Porphyromonas (interacts with) Actinomyces","false","interacts with","Porphyromonas (interacts with) Actinomyces"
"1502","1502","5.1820422252981695","1.24761021","1","interacts with","Porphyromonas (interacts with) Actinobacillus","false","interacts with","Porphyromonas (interacts with) Actinobacillus"
