"SUID","BEND_MAP_ID","cluster2_Adj_cyto.csv","EdgeBetweenness","inter","interaction","name","selected","shared interaction","shared name"
"1780","1780","-5.618860734959049","1.04761905","-1","interacts with","Fusobacterium (interacts with) Cryptococcus","false","interacts with","Fusobacterium (interacts with) Cryptococcus"
"1781","1781","-3.3376919411227","1.0952381","-1","interacts with","Fusobacterium (interacts with) Penicillium","false","interacts with","Fusobacterium (interacts with) Penicillium"
"1782","1782","-2.0613657935439096","1.14285714","-1","interacts with","Fusobacterium (interacts with) Saccharomyces","false","interacts with","Fusobacterium (interacts with) Saccharomyces"
"1783","1783","0.13093803094635","1.04761905","1","interacts with","Fusobacterium (interacts with) unidentified","false","interacts with","Fusobacterium (interacts with) unidentified"
"1784","1784","-0.73103613066982","1.27093776","-1","interacts with","Fusobacterium (interacts with) RV","false","interacts with","Fusobacterium (interacts with) RV"
"1785","1785","3.10060588762972","1.1510101","1","interacts with","Gemella (interacts with) Actinobacillus","false","interacts with","Gemella (interacts with) Actinobacillus"
"1786","1786","9.50125588600493","1.05","1","interacts with","Gemella (interacts with) Actinomyces","false","interacts with","Gemella (interacts with) Actinomyces"
"1787","1787","9.022044906307","1.05555556","1","interacts with","Gemella (interacts with) Fusobacterium","false","interacts with","Gemella (interacts with) Fusobacterium"
"1788","1788","3.6900620304730203","1.05","1","interacts with","Gemella (interacts with) Granulicatella","false","interacts with","Gemella (interacts with) Granulicatella"
"1789","1789","-5.36287005503205","1.10555556","-1","interacts with","Gemella (interacts with) Haemophilus","false","interacts with","Gemella (interacts with) Haemophilus"
"1790","1790","20.1844821405267","1.10555556","1","interacts with","Gemella (interacts with) Leptotrichia","false","interacts with","Gemella (interacts with) Leptotrichia"
"1791","1791","7.358264882807491","1.1531746","1","interacts with","Gemella (interacts with) Neisseria","false","interacts with","Gemella (interacts with) Neisseria"
"1792","1792","8.07121728792697","1.10555556","1","interacts with","Gemella (interacts with) Porphyromonas","false","interacts with","Gemella (interacts with) Porphyromonas"
"1793","1793","11.6184721751598","1.10555556","1","interacts with","Gemella (interacts with) Prevotella","false","interacts with","Gemella (interacts with) Prevotella"
"1794","1794","4.3167487555671205","1.26437908","1","interacts with","Gemella (interacts with) Rothia","false","interacts with","Gemella (interacts with) Rothia"
"1795","1795","-1.16493257500175","1.1510101","-1","interacts with","Gemella (interacts with) Streptococcus","false","interacts with","Gemella (interacts with) Streptococcus"
"1796","1796","8.907990674421589","1.10555556","1","interacts with","Gemella (interacts with) Veillonella","false","interacts with","Gemella (interacts with) Veillonella"
"1797","1797","5.89059241652799","1.1531746","1","interacts with","Gemella (interacts with) Klebsiella","false","interacts with","Gemella (interacts with) Klebsiella"
"1798","1798","3.0374508093976402","1.20873016","1","interacts with","Gemella (interacts with) Moraxella","false","interacts with","Gemella (interacts with) Moraxella"
"1799","1799","1.4434903949073703","1.21374269","1","interacts with","Gemella (interacts with) Pseudomonas","false","interacts with","Gemella (interacts with) Pseudomonas"
"1800","1800","3.14467168851905","1.1531746","1","interacts with","Gemella (interacts with) Aspergillus","false","interacts with","Gemella (interacts with) Aspergillus"
"1801","1801","1.0512092942145501","1.15818713","1","interacts with","Gemella (interacts with) Candida","false","interacts with","Gemella (interacts with) Candida"
"1802","1802","-1.04455964124219","1.10555556","-1","interacts with","Gemella (interacts with) Cryptococcus","false","interacts with","Gemella (interacts with) Cryptococcus"
"1803","1803","-1.0855807927151802","1.1531746","-1","interacts with","Gemella (interacts with) Penicillium","false","interacts with","Gemella (interacts with) Penicillium"
"1804","1804","1.26084364640747","1.20079365","1","interacts with","Gemella (interacts with) Saccharomyces","false","interacts with","Gemella (interacts with) Saccharomyces"
"1805","1805","0.24927240911954898","1.10555556","1","interacts with","Gemella (interacts with) unidentified","false","interacts with","Gemella (interacts with) unidentified"
"1806","1806","-0.5993475977499871","1.09808612","-1","interacts with","Granulicatella (interacts with) Actinobacillus","false","interacts with","Granulicatella (interacts with) Actinobacillus"
"1807","1807","22.6389888061337","1.0","1","interacts with","Granulicatella (interacts with) Actinomyces","false","interacts with","Granulicatella (interacts with) Actinomyces"
"1808","1808","2.2314587724329202","1.10025063","1","interacts with","Granulicatella (interacts with) Fusobacterium","false","interacts with","Granulicatella (interacts with) Fusobacterium"
"1809","1809","3.6900620304730203","1.05","1","interacts with","Granulicatella (interacts with) Gemella","false","interacts with","Granulicatella (interacts with) Gemella"
"1810","1810","0.7216874921314721","1.05263158","1","interacts with","Granulicatella (interacts with) Haemophilus","false","interacts with","Granulicatella (interacts with) Haemophilus"
"1811","1811","1.9530213637599","1.05263158","1","interacts with","Granulicatella (interacts with) Leptotrichia","false","interacts with","Granulicatella (interacts with) Leptotrichia"
"1812","1812","3.1874180688612097","1.10025063","1","interacts with","Granulicatella (interacts with) Neisseria","false","interacts with","Granulicatella (interacts with) Neisseria"
"1813","1813","2.1118603611496396","1.05263158","1","interacts with","Granulicatella (interacts with) Porphyromonas","false","interacts with","Granulicatella (interacts with) Porphyromonas"
"1814","1814","6.393243162000821","1.05263158","1","interacts with","Granulicatella (interacts with) Prevotella","false","interacts with","Granulicatella (interacts with) Prevotella"
"1815","1815","6.978852764893481","1.21145511","1","interacts with","Granulicatella (interacts with) Rothia","false","interacts with","Granulicatella (interacts with) Rothia"
"1816","1816","-0.66547246011745","1.09808612","-1","interacts with","Granulicatella (interacts with) Streptococcus","false","interacts with","Granulicatella (interacts with) Streptococcus"
"1817","1817","7.21350889708776","1.05263158","1","interacts with","Granulicatella (interacts with) Veillonella","false","interacts with","Granulicatella (interacts with) Veillonella"
"1818","1818","-0.8009241288267779","1.10025063","-1","interacts with","Granulicatella (interacts with) Klebsiella","false","interacts with","Granulicatella (interacts with) Klebsiella"
"1819","1819","3.9143900262149702","1.15580618","1","interacts with","Granulicatella (interacts with) Moraxella","false","interacts with","Granulicatella (interacts with) Moraxella"
"1820","1820","5.29019726218075","1.16374269","1","interacts with","Granulicatella (interacts with) Pseudomonas","false","interacts with","Granulicatella (interacts with) Pseudomonas"
"1821","1821","0.647605157471353","1.10025063","1","interacts with","Granulicatella (interacts with) Aspergillus","false","interacts with","Granulicatella (interacts with) Aspergillus"
"1822","1822","3.4333854978169702","1.10526316","1","interacts with","Granulicatella (interacts with) Candida","false","interacts with","Granulicatella (interacts with) Candida"
"1823","1823","15.3110877256058","1.05263158","1","interacts with","Granulicatella (interacts with) Cryptococcus","false","interacts with","Granulicatella (interacts with) Cryptococcus"
"1824","1824","15.236274124738","1.10025063","1","interacts with","Granulicatella (interacts with) Penicillium","false","interacts with","Granulicatella (interacts with) Penicillium"
"1825","1825","13.255547861823402","1.14786967","1","interacts with","Granulicatella (interacts with) Saccharomyces","false","interacts with","Granulicatella (interacts with) Saccharomyces"
"1826","1826","2.9165135386817096","1.05263158","1","interacts with","Granulicatella (interacts with) unidentified","false","interacts with","Granulicatella (interacts with) unidentified"
"1827","1827","-1.60298551945245","1.15025063","-1","interacts with","Granulicatella (interacts with) PIV3","false","interacts with","Granulicatella (interacts with) PIV3"
"1828","1828","-3.34681339190656","1.04545455","-1","interacts with","Haemophilus (interacts with) Actinobacillus","false","interacts with","Haemophilus (interacts with) Actinobacillus"
"1829","1829","-20.0743459456934","1.05263158","-1","interacts with","Haemophilus (interacts with) Actinomyces","false","interacts with","Haemophilus (interacts with) Actinomyces"
"1830","1830","-25.588839430640203","1.04761905","-1","interacts with","Haemophilus (interacts with) Fusobacterium","false","interacts with","Haemophilus (interacts with) Fusobacterium"
"1831","1831","-15.1840941801687","1.10555556","-1","interacts with","Haemophilus (interacts with) Gemella","false","interacts with","Haemophilus (interacts with) Gemella"
"1832","1832","0.7216874921314721","1.05263158","1","interacts with","Haemophilus (interacts with) Granulicatella","false","interacts with","Haemophilus (interacts with) Granulicatella"
"1833","1833","-44.0303711773658","1.0","-1","interacts with","Haemophilus (interacts with) Leptotrichia","false","interacts with","Haemophilus (interacts with) Leptotrichia"
"1834","1834","-5.979034339802211","1.04761905","-1","interacts with","Haemophilus (interacts with) Neisseria","false","interacts with","Haemophilus (interacts with) Neisseria"
"1835","1835","-79.84896209087691","1.0","-1","interacts with","Haemophilus (interacts with) Porphyromonas","false","interacts with","Haemophilus (interacts with) Porphyromonas"
