K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
187,0.6357612199,0.5910428115,0.8942895182,,,
188,0.6355628821,0.5908254214,0.8942013272,,,
189,0.63535914,0.5906018954,0.8941119602,,,
190,0.6351093003,0.5903274331,0.8940044697,,,
191,0.6330012389,0.5889770916,0.8971461226,,,
192,0.6325562071,0.5884864376,0.8969748245,,,
193,0.6307330045,0.5875049733,0.9001877323,,,
194,0.6279574233,0.5855208594,0.9030634241,,,
195,0.6274862688,0.5850028676,0.9028959042,,,
196,0.6235250385,0.5828963361,0.9094307222,,,
197,0.6230818413,0.5824112602,0.9092822266,,,
198,0.6226346317,0.5819217332,0.9091328062,,,
199,0.622373389,0.581636348,0.9090414555,,,
200,0.6220988155,0.5813360244,0.9089480861,,,
201,0.6216454863,0.5808395131,0.9087986309,,,
202,0.6211996259,0.5803513412,0.9086505184,,,
203,0.6207387194,0.5798462434,0.9085005876,,,
204,0.6203758459,0.579448658,0.9083819832,,,
205,0.6199397118,0.5789710207,0.9082379083,,,
206,0.619504264,0.5784936225,0.908097667,,,
207,0.619232445,0.5781954428,0.9080113495,,,
208,0.6188543601,0.5777813,0.9078870054,,,
209,0.6184987032,0.577391769,0.9077697216,,,
210,0.6182309098,0.5770977555,0.9076864398,,,
211,0.6179627976,0.5768037725,0.9076003815,,,
212,0.6176815016,0.5764956397,0.9075079372,,,
213,0.6174126648,0.576201264,0.9074188189,,,
214,0.6172060821,0.5759750658,0.907350271,,,
215,0.6170371023,0.5757899758,0.9072946591,,,
216,0.6169210807,0.5756627169,0.9072577148,,,
