"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Actinomyces",0.0320536778582493,2,2.26354982920914e-17,0.00231461309162102,0.539284783345098,4.7256471987136e-24,1.56704814467785e-31,0.0896048120406437,0.0755928375574157,0.620954434517032,2.53019684014636e-05,8.67263659814793e-10,1.95339970788681e-12,4.44348400572968e-18,0.300146178611091,0.000153846234121033,2.95510879325303e-05,0.00140161215379639,0.00863858025445784,6.66578407334984e-20,0.0499079185622647,3.68784504811272e-22,0.375811769592574,0.0727653631246077,0.422671377330331,0.00863858025445784,0.000951541357449666,0.891503749251699,0.539284783345098,0.0968267956885488,1.54593540974778e-07,1.03829255791432e-05,2,0.000329225361823321,0.011978749943924
"Capnocytophaga",0.243704820495191,1.28549237555781e-15,2,0.0723305751664289,0.0444801474973446,0.0205605337332642,2.70887708816009e-26,6.56663868151194e-05,2.56387132726839e-05,3.42676283730694e-27,0.00651611505371532,2,0.735514897902822,0.00383304892578314,0.00647843651616106,0.0444801474973446,2.56387132726839e-05,0.57274929653138,0.0023131844833089,0.13395330052943,0.19620908921065,0.740787955577967,0.0797707192805586,2,0.112065499125731,0.00647843651616106,0.57274929653138,0.591950376843182,0.0599884526303823,0.0870717268304225,2,0.000554203472689051,2,2,2
"Fusobacterium",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Gemella",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Granulicatella",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Haemophilus",0.256637296097299,6.0305144280921e-20,2.23895173992253e-13,1.70793160626549e-09,0.00355714954084463,2.78417544582068e-19,2,5.61009661972094e-10,1.80140082919688e-22,1.70793160626549e-09,5.61101038067784e-05,0.0627113343977208,2.04532012308827e-07,7.4628669116306e-08,0.000108205662249339,2,0.117967215933926,0.00235224370140144,2,1.13664493222266e-14,1.80140082919688e-22,0.00025077228030872,0.0780473778361733,1.44982740051808e-33,6.32734840218406e-18,0.531008179463614,0.581941130092891,0.141102955053829,0.487620299497847,0.581941130092891,0.854476375140274,1.90111387406143e-21,2,2,0.477138517416097
"Leptotrichia",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Neisseria",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Porphyromonas",0.0312175241463031,0.00134845038285886,1.14469402555537e-27,0.596220374211836,0.537556444910428,0.0617012093332708,0.701486709416136,1.76933656189384e-13,0.00556459121407535,2,0.570435204187846,0.265199317988035,0.439328344120448,0.0449015808599356,0.158215527823714,0.025138665226906,0.810162549717444,0.0621138698538862,0.0582990139656247,0.0312175241463031,0.0434865786646668,0.701486709416136,0.00615349860998619,2,0.000177533611936318,0.386345045755716,0.0312175241463031,0.599700426629192,0.0434865786646668,0.263901465589418,0.265199317988035,0.812072247408731,2,2,2
