K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
1,0.8116211417,0.773364072,0.9649362871,0.8396505111,,
7,0.8013784963,0.7751484704,0.8017611996,0.969076117,,
9,0.7980342068,0.7685678529,0.8098459398,0.9746793826,,
10,0.7973412776,0.7709698581,0.9734366662,0.8041659814,,
8,0.7963572417,0.7796560914,0.788746979,0.9761864066,,
11,0.7936621866,0.7672805208,0.8004317709,0.9725529478,,
13,0.7881565676,0.7554371644,0.8046277438,0.9709580501,,
12,0.787050647,0.7505795632,0.8108687404,0.971371778,,
15,0.7863216084,0.7588258074,0.7939005941,0.9695513195,,
14,0.7862351609,0.7578703689,0.7948678903,0.9702541553,,
19,0.7862197634,0.7722693925,0.8031594995,,,
16,0.7861166239,0.7584916523,0.7938789071,0.9692998601,,
20,0.785432734,0.7729303999,0.800334506,,,
17,0.7847588423,0.7567742688,0.9685804791,0.7929064259,,
21,0.7841801702,0.7702486578,0.8010970067,,,
22,0.7832742525,0.7706535012,0.7983171683,,,
18,0.7825150005,0.7504110283,0.7970490283,0.9681945976,,
23,0.7814197999,0.7686538431,0.7966357887,,,
24,0.7803917261,0.7674901832,0.7957693228,,,
26,0.778840904,0.7495818616,0.7872952323,0.9660415462,,
25,0.7783642179,0.7696672337,0.7881696413,,,
5,0.7776418484,0.7637009818,0.9797844135,,,
28,0.7764507054,0.7594053528,0.7979349519,,,
27,0.775728788,0.7670206961,0.7855467347,,,
29,0.7751953111,0.759371095,0.794771661,,,
30,0.7739785248,0.7541250164,0.7999570519,,,
31,0.7732180413,0.753290899,0.7992929189,,,
32,0.7721145286,0.7385512019,0.7835301774,0.9548030133,,
33,0.77140097,0.736995476,0.7821088576,0.9506045795,,
34,0.7705718025,0.7364658105,0.7807627846,0.9503338976,,
35,0.7695578503,0.7358251781,0.7808488196,0.9541364498,,
36,0.7678969206,0.7321334073,0.7823047078,0.9537767289,,
6,0.7666461039,0.7472403945,0.9688740234,,,
37,0.7663991315,0.7290965358,0.7833745776,0.953445649,,
38,0.7659506655,0.7282100204,0.7834883794,0.9533110328,,
39,0.7652615909,0.7274078138,0.7828579969,0.9531518409,,
40,0.764497928,0.7290011437,0.7774906996,0.952825515,,
41,0.7628819807,0.7248843345,0.7796651926,0.9526279061,,
42,0.7623444193,0.7241032455,0.7793767682,0.9525631715,,
43,0.7620730368,0.7237919623,0.7791286104,0.9524616334,,
44,0.7617945103,0.7261984028,0.7739477226,0.9523180173,,
58,0.7616335024,0.7372902627,0.9604454452,0.7600093202,,
57,0.7614519721,0.7335091305,0.7645301348,0.9605550752,,
59,0.7611448601,0.7367153205,0.7595616147,0.9603447597,,
64,0.7607717419,0.7286690861,0.7696171401,0.9600978996,,
61,0.7606779953,0.7321799822,0.7643538922,0.9601724967,,
65,0.7605904608,0.7282902052,0.7696613467,0.9600317475,,
47,0.7603483238,0.7312754102,0.7608606244,0.9474953036,,
66,0.7602225697,0.7276608623,0.7695705533,0.9599543347,,
56,0.760206708,0.7319075699,0.76213009,0.9559369783,,
67,0.7601377894,0.7276943037,0.7693268413,0.9599568379,,
68,0.7600012518,0.7274311248,0.7693345001,0.9598961542,,
69,0.7597773608,0.726844067,0.7695295746,0.9598543214,,
46,0.7594670983,0.7267857346,0.7651791746,0.9474696539,,
48,0.7594419623,0.7317664353,0.7577550697,0.9474495096,,
70,0.7593752303,0.7263334314,0.769200607,0.9598446729,,
71,0.759288788,0.726378072,0.7689428043,0.9598234104,,
74,0.7591282519,0.7277875751,0.7664312123,0.959624164,,
72,0.7590135441,0.726087084,0.7686557413,0.9597509437,,
76,0.758964007,0.7229370267,0.7735168334,0.9598121653,,
73,0.7588322949,0.725765932,0.7686324455,0.9596622186,,
77,0.7587760232,0.7225833556,0.773507872,0.9598352771,,
45,0.7587044757,0.7231397396,0.7690918749,0.9473524597,,
82,0.758677664,0.7180913778,0.7811462038,0.9598420267,,
75,0.758615818,0.7271783967,0.7659667704,0.9595633996,,
49,0.7585487286,0.7341104879,0.7523466888,0.947367414,,
83,0.7584725231,0.717789886,0.7810439414,0.9598101359,,
85,0.7584597072,0.717804142,0.7810022072,0.959748717,,
84,0.7584162468,0.7177856509,0.7809088975,0.959802801,,
63,0.7582800723,0.7271657278,0.7641639805,0.9552970617,,
86,0.7582660606,0.7175255407,0.7809002244,0.9597019716,,
79,0.7582003427,0.7219124751,0.7729814212,0.9597218375,,
80,0.7581283363,0.7218364201,0.7729093424,0.9596832572,,
81,0.758049217,0.7219214617,0.7726177682,0.9596180057,,
78,0.7580369685,0.7247074789,0.768047892,0.9596018828,,
55,0.7579487038,0.7299244704,0.7578512431,0.9511696164,,
60,0.7579483746,0.7321410516,0.7563547736,0.9553619145,,
90,0.7579171913,0.7128601872,0.7890145785,0.9597570023,,
178,0.757908665,0.7111933886,0.951699808,0.7908024046,,
210,0.7579028692,0.7110141302,0.7910655443,0.9516887963,,
209,0.7578976426,0.7110126544,0.7910550374,0.9516810413,,
208,0.757894216,0.7110130807,0.7910448094,0.9516818169,,
181,0.757886654,0.7112277281,0.9516916414,0.7906905674,,
182,0.7578781957,0.7111870922,0.9516845018,0.790731534,,
179,0.7578778672,0.7111537487,0.9516942324,0.7907801534,,
183,0.7578763837,0.7111850797,0.9516811538,0.7907303427,,
88,0.7578739572,0.7141386831,0.7861895504,0.9597302275,,
207,0.7578730046,0.710989301,0.9516811302,0.7910234077,,
184,0.7578675688,0.7111820006,0.9516869029,0.7907097203,,
206,0.7578617647,0.7109724743,0.9516743967,0.7910198825,,
180,0.7578538782,0.7111299267,0.9516868313,0.7907525469,,
205,0.7578491257,0.7109510044,0.9516695236,0.7910193085,,
186,0.7578475354,0.7111527707,0.9517010697,0.7906969625,,
87,0.7578459295,0.7155455833,0.7833229015,0.9596958023,,
188,0.7578365601,0.7111276427,0.9516943497,0.7907069816,,
187,0.7578321273,0.711111136,0.9516951552,0.7907201335,,
189,0.757829692,0.7110894875,0.9516987701,0.7907461438,,
204,0.75782547,0.7109251747,0.9516635779,0.7909954231,,
185,0.7578231848,0.7111546613,0.951683627,0.7906306884,,
203,0.757818848,0.7109369297,0.9516627574,0.7909592465,,
89,0.7578173918,0.7141192793,0.7860755775,0.9597022342,,
202,0.7578148991,0.71094476,0.9516553547,0.7909378065,,
